name	ID	Mr	T0	f0	n	V0	k0	k0prime	td	gam0	q	n_a1	etaS0	Sconf	g0	g0prime	m	n_a2	n_a3	f0_Er	k0_Er	k0prime_Er	td_Er	gam0_Er	q_Er	n_a4	n_a5	etaS0_Er	g0_Er	g0prime_Er	Cations
fo	O	140.692	300	-2055403	7	4.3603	1279555	4.21796	809.1703	0.99282	2.10672	1	2.29972	0	815999.9	1.46257	0	0	0	2000	20000	0.2	1	0.03	0.2	0	0	0.1	2	0.1	3
fa	O	203.772	300	-1370519	7	4.629	1349622	4.21796	618.7007	1.06023	3.6466	1	1.02497	26.76	508999.9	1.46257	2	0	0	1000	20000	1	2	0.07	1	0	0	0.6	2	0.5	3
wad	Wad	140.692	300	-2027837	7	4.0515	1686948	4.3229	843.4973	1.2061	2.0188	1	2.63683	0	1120000	1.44424	0	0	0	2000	30000	0.2	7	0.09	1	0	0	0.4	2	0.2	3
fwad	Wad	203.772	300	-1364668	7	4.28	1685910	4.3229	665.4492	1.2061	2.0188	1	1.04017	26.76	720000	1.44424	2	0	0	7000	130000	1	21	0.3	1	0	0	1	12	0.5	3
ring	Ring	140.692	300	-2017557	7	3.9493	1849009	4.22035	877.7094	1.10791	2.3914	1	2.30461	0	1230000	1.35412	0	0	0	2000	20000	0.2	8	0.1	0.4	0	0	0.5	2	0.1	3
fring	Ring	203.772	300	-1362772	7	4.186	2134120	4.22035	677.7177	1.27193	2.3914	1	1.77249	26.76	920000	1.35412	2	0	0	2000	70000	1	8	0.23	1	0	0	1	10	0.5	3
en	Opx	200.776	300	-2913596	10	6.2676	1070768	7.02751	812.1848	0.78479	3.43846	1	2.50453	0	768000	1.54596	0	0	0	2000	20000	0.4	4	0.04	0.4	0	0	0.1	1	0.1	4
fs	Opx	263.856	300	-2225718	10	6.5941	1005386	7.02751	674.4769	0.71889	3.43846	1	1.07706	26.76	520000	1.54596	2	0	0	4000	40000	0.5	10	0.08	1	0	0	1	5	0.5	4
ts	Opx	202.349	300	-3002470	10	5.914	1070768	7.02751	783.8404	0.78479	3.43846	1	2.49099	0	959508.6	1.54596	0	0	0	9000	100000	1	24	0.3	1	0	0	1	10	0.5	4
odi	Opx	216.549	300	-3015827	10	6.8054	1070768	7.02751	744.6988	0.78479	3.43846	1	1.36161	0	584589.5	1.54596	0	0	0	3000	100000	1	9	0.3	1	0	0	1	10	0.5	4
di	Cpx	216.549	300	-3029531	10	6.6039	1122413	5.23885	781.6146	0.95873	1.52852	1	1.57351	0	670000	1.37293	0	0	0	2000	50000	1.8	3	0.05	2	0	0	1	2	0.5	4
hed	Cpx	248.089	300	-2677330	10	6.7867	1192555	5.23885	701.5851	0.93516	1.52852	1	1.5703	13.38	610000	1.17647	1	0	0	45000	40000	1	2	0.06	1	0	0	1	1	0.5	4
cen	Cpx	200.776	300	-2905918	10	6.25	1122413	5.23885	805.0547	0.95873	1.52852	1	1.69074	0	794968.6	1.62901	0	0	0	3000	100000	1	10	0.3	1	0	0	1	10	0.5	4
cts	Cpx	218.122	300	-3120253	10	6.3574	1122413	5.23885	803.6626	0.78126	1.52852	1	1.9672	11.525	751606.6	1.54016	0	0	0	5000	100000	1	5	0.01	1	0	0	1	10	0.5	4
jd	Cpx	202.138	300	-2855192	10	6.0508	1422873	5.23885	820.7623	0.903	0.39234	1	2.18453	0	850000	1.37398	0	0	0	3000	20000	1	12	0.08	1.4	0	0	1	2	0.5	4
