,SiO2,Al2O3,FeO,MgO,CaO,Na2O,,,,,,
Olivine,    37.85,.4,23.53,38.51,.17,.08,.33,.55,.21,.29,.04,.04
Wadsleyite, 0,0,0,0,0,0,0,0,0,0,0,0
Ringwoodite, 0,0,0,0,0,0,0,0,0,0,0,0
Opx,        53.68,2.66,14.01,26.35,2.35,0.56,0.96,0.42,0.47,1.19,0.79,0.17
Cpx,        54.01,3.31,11.77,19.65,9.11,1.69,0.3,0.69,0.79,1.19,1.12,0.27
C2/c,       0,0,0,0,0,0,0,0,0,0,0,0
Ca-Perov,    0,0,0,0,0,0,0,0,0,0,0,0
Akimotoite,  0,0,0,0,0,0,0,0,0,0,0,0
Majorite,   40.87,21.21,16.18,17.98,4.61,0.05,1.73,1.51,0.41,1.63,0.93,0.01
Quartz,      0,0,0,0,0,0,0,0,0,0,0,0
Perovskite,  0,0,0,0,0,0,0,0,0,0,0,0 
Periclase,   0,0,0,0,0,0,0,0,0,0,0,0
Spinel,      0,0,0,0,0,0,0,0,0,0,0,0
CF,          0,0,0,0,0,0,0,0,0,0,0,0
PPv,	     0,0,0,0,0,0,0,0,0,0,0,0
Pl,	     0,0,0,0,0,0,0,0,0,0,0,0
