name	ID	Mr	T0	V0	F0	K0	Kprime	Dy0	y0	q	n	n_a1	S	Sprime	ets0	m	fmag	n_a2	n_a3	F0_Er	K0_Er	Kprime_Er	Dy0_Er	y0_Er	q_Er	n_a4	n_a5	S_Er	Sprime_Er	ets0_Er
fo	O	140.692	300	4.3603	-2055403	127.9555	4.21796	809.1703	0.99282	2.10672	7	1	81.59999	1.46257	2.29972	0	0	0	0	2000	2	0.2	1	0.03	0.2	0	0	2	0.1	0.1
fa	O	203.772	300	4.629	-1370519	134.9622	4.21796	618.7007	1.06023	3.6466	7	1	50.89999	1.46257	1.02497	2	8.32	0	0	1000	2	1	2	0.07	1	0	0	2	0.5	0.6
wad	Wad	140.692	300	4.0515	-2027837	168.6948	4.3229	843.4973	1.2061	2.0188	7	1	112	1.44424	2.63683	0	0	0	0	2000	3	0.2	7	0.09	1	0	0	2	0.2	0.4
fwad	Wad	203.772	300	4.28	-1364668	168.591	4.3229	665.4492	1.2061	2.0188	7	1	72	1.44424	1.04017	2	8.32	0	0	7000	13	1	21	0.3	1	0	0	12	0.5	1
ring	Ring	140.692	300	3.9493	-2017557	184.9009	4.22035	877.7094	1.10791	2.3914	7	1	123	1.35412	2.30461	0	0	0	0	2000	2	0.2	8	0.1	0.4	0	0	2	0.1	0.5
fring	Ring	203.772	300	4.186	-1362772	213.412	4.22035	677.7177	1.27193	2.3914	7	1	92	1.35412	1.77249	2	8.32	0	0	2000	7	1	8	0.23	1	0	0	10	0.5	1
en	Opx	200.776	300	6.2676	-2913596	107.0768	7.02751	812.1848	0.78479	3.43846	10	1	76.8	1.54596	2.50453	0	0	0	0	2000	2	0.4	4	0.04	0.4	0	0	1	0.1	0.1
fs	Opx	263.856	300	6.5941	-2225718	100.5386	7.02751	674.4769	0.71889	3.43846	10	1	52	1.54596	1.07706	2	8.32	0	0	4000	4	0.5	10	0.08	1	0	0	5	0.5	1
ts	Opx	202.349	300	5.914	-3002470	107.0768	7.02751	783.8404	0.78479	3.43846	10	1	95.95086	1.54596	2.49099	0	0	0	0	9000	10	1	24	0.3	1	0	0	10	0.5	1
odi	Opx	216.549	300	6.8054	-3015827	107.0768	7.02751	744.6988	0.78479	3.43846	10	1	584589.5	1.54596	1.36161	0	0	0	0	3000	10	1	9	0.3	1	0	0	10	0.5	1
di	Cpx	216.549	300	6.6039	-3029531	112.2413	5.23885	781.6146	0.95873	1.52852	10	1	67	1.37293	1.57351	0	0	0	0	2000	5	1.8	3	0.05	2	0	0	2	0.5	1
hed	Cpx	248.089	300	6.7867	-2677330	119.2555	5.23885	701.5851	0.93516	1.52852	10	1	61	1.17647	1.5703	1	4.16	0	0	45000	4	1	2	0.06	1	0	0	1	0.5	1
cen	Cpx	200.776	300	6.25	-2905918	112.2413	5.23885	805.0547	0.95873	1.52852	10	1	79.49686	1.62901	1.69074	0	0	0	0	3000	10	1	10	0.3	1	0	0	10	0.5	1
cts	Cpx	218.122	300	6.3574	-3120253	112.2413	5.23885	803.6626	0.78126	1.52852	10	1	75.16066	1.54016	1.9672	0	11.525	0	0	5000	10	1	5	0.01	1	0	0	10	0.5	1
jd	Cpx	202.138	300	6.0508	-2855192	142.2873	5.23885	820.7623	0.903	0.39234	10	1	85	1.37398	2.18453	0	0	0	0	3000	2	1	12	0.08	1.4	0	0	2	0.5	1
c2/c	C2/c	200.776	300	6.076	-2905788	116.0254	6.23685	824.4439	1.12473	0.20401	10	1	87.92717	1.84119	2.14181	0	0	0	0	3000	1	0.3	7	0.05	0.5	0	0	1	0.1	0.5
fc2/c	C2/c	263.856	300	6.3854	-2222183	116.0254	6.23685	691.564	1.12473	0.20401	10	1	70.62309	1.84119	0.79216	2	8.32	0	0	4000	10	1	11	0.3	1	0	0	10	0.5	1
ca-pv	ca-pv	116.161	300	2.745	-1463358	236	3.9	795.779	1.88839	0.89769	5	1	156.8315	2.22713	1.28818	0	0	0	0	8000	4	0.2	44	0.07	1.6	0	0	12	0.5	1
aki	Aki	100.388	300	2.6354	-1410850	210.706	5.62088	935.9778	1.18984	2.34514	5	1	132	1.57889	2.80782	0	0	0	0	2000	4	0.8	12	0.13	0.8	0	0	8	0.5	1
faki	Aki	131.928	300	2.6854	-1067598	210.706	5.62088	887.8709	1.18984	2.34514	5	1	152.3046	1.57889	3.5716	1	4.16	0	0	21000	10	1	120	0.3	1	0	0	10	0.5	1
cor	Aki	101.961	300	2.5577	-1582454	252.5457	4.33728	932.5696	1.32442	1.32442	5	1	163.2	1.64174	2.8316	0	0	0	0	1000	5	0.2	3	0.04	0.2	0	0	2	0.1	0.2
py	Gt_maj	403.125	300	11.308	-5936538	170.2396	4.11067	823.2102	1.01424	1.42169	20	1	93.69999	1.35756	0.98186	0	0	0	0	10000	2	0.3	4	0.06	0.5	0	0	2	0.2	0.3
alm	Gt_maj	497.745	300	11.543	-4935516	173.8963	4.91341	741.356	1.06495	1.42169	20	1	96	1.40927	2.09292	1	12.48	0	0	29000	2	0.2	5	0.06	1	0	0	1	0.1	1
gr	Gt_maj	450.444	300	12.512	-6277935	167.0622	3.91544	822.743	1.05404	1.8887	20	1	109	1.16274	2.38418	0	0	0	0	11000	1	0.2	2	0.06	0.2	0	0	4	0.1	0.1
maj	Gt_maj	401.552	300	11.4324	-5691614	165.1183	4.21183	822.458	0.97682	1.53581	20	1	84.99999	1.42969	1.0178	0	0	0	0	10000	3	0.3	4	0.07	0.5	0	0	2	0.2	0.3
jmaj	Gt_maj	404.276	300	11.094	-5518542	177.0772	4.11067	895.914	1.01424	1.42169	20	1	125	1.35756	3.30517	0	0	0	0	14000	7	1	18	0.3	1	0	0	4	0.5	1
q	q	60.084	300	2.367	-858853.4	49.54743	4.33155	816.3307	0	1	3	1	44.85617	0.95315	2.36469	0	0	0	0	1000	1	0.1	31	0.05	0.1	0	0	1	0.1	1
coe	coe	60.084	300	2.0657	-855068.5	113.5856	4	852.4267	0.39157	1	3	1	61.6	1.24734	2.39793	0	0	0	0	1000	1	1	9	0.05	1	0	0	1	0.5	1
st	st	60.084	300	1.4017	-818984.6	314.3352	3.75122	1107.824	1.37466	2.83517	3	1	220	1.93334	4.60904	0	0	0	0	1000	8	0.1	13	0.17	2.2	0	0	12	0.1	1
